patent_id;inventors_count;images_count;backward_citations_count;foward_citations_count;nuns_count;aplications_count;top_10_words_count;non_patent_citations_count;independent_claims_count;application_date;family_count;ipcs_count;cpcs_count;ipcs_diversity_count;cpcs_diversity_count
WO2011067363;3;0;28;3;3;0;3;0;0;03/12/2010;8;1;2;1;1
BR9911012;4;0;22;23;5;1;7;0;0;04/05/1999;10;4;7;4;4
BR0306418;2;0;0;0;4;0;2;0;0;10/12/2003;1;2;2;1;1
BR9809736;4;0;1;7;13;1;6;0;0;11/06/1998;6;3;2;1;1
BR9814500;2;0;8;12;10;2;11;0;0;17/12/1998;17;9;3;3;2
BR9904166;5;0;9;42;6;1;6;0;0;15/09/1999;22;12;5;3;1
BR9807452;1;0;14;9;6;2;5;0;0;20/02/1998;27;4;2;2;1
WO2010081231;3;0;5;32;3;0;2;0;0;15/01/2010;5;8;4;6;4
WO2014159529;1;0;28;18;3;1;3;1;0;12/03/2014;14;1;4;1;3
BR112019012266;4;0;14;14;18;1;19;0;16;15/12/2017;14;2;7;2;4
BR0102809;1;0;0;0;12;1;8;0;0;25/05/2001;2;1;0;0;0
WO2013096562;5;0;75;11;8;0;3;89;0;20/12/2012;17;2;6;1;3
WO2014082143;5;0;3;1;4;1;4;5;0;28/11/2012;4;4;12;3;5
WO2009014225;5;0;36;50;6;1;5;1;0;18/07/2008;12;2;10;2;3
WO2014010048;4;14;22;3;16;1;9;0;16;11/07/2012;11;5;19;4;6
WO2006007406;2;0;12;64;6;0;5;0;0;16/06/2005;25;0;11;0;4
BR112019012276;6;0;14;10;15;1;8;0;19;15/12/2017;21;2;8;2;4
BR102021012709;8;27;0;0;23;1;4;0;57;25/06/2021;1;2;0;0;0
BR7602432;1;0;1;1;1;1;0;0;0;20/04/1976;7;2;3;1;2
WO2010039783;4;0;4;4;5;0;5;0;0;30/09/2009;7;4;7;2;3
BR0309654;2;0;6;8;18;2;11;0;0;16/04/2003;24;11;13;2;3
BR0306523;1;0;0;0;11;1;6;0;0;29/09/2003;2;1;1;1;1
BR102014028974;10;0;0;0;7;1;7;0;5;20/11/2014;2;2;0;0;0
WO2016201031;2;0;16;6;5;0;2;5;0;09/06/2016;9;8;10;3;2
BR112022011453;6;0;29;1;4;2;6;0;0;17/12/2020;23;3;10;1;3
BR112022012125;2;0;15;0;4;1;5;0;0;15/12/2020;10;4;8;2;3
BR0016808;4;0;0;0;6;2;4;0;0;28/12/2000;19;3;0;0;0
BR0107357;2;0;14;8;3;2;2;0;0;30/05/2001;37;6;2;2;1
