patent_id,ipc_class
WO2015085377,C07
WO2015085377,C07
WO2015085377,C07
WO2015085377,A01
WO2015085377,A01
BR0006628,A23
BR0006628,A23
BR0006628,C05
BR0006628,C05
BR0006628,C12
BR0006628,C12
WO2017142000,C07
WO2017142000,C07
WO2017142000,C07
WO2017142000,C07
WO2017142000,C13
WO2017142000,C07
WO2017142000,C12
BRPI0802559,C12
BR102012023398,C07
BR102012023398,C07
BR102012023398,C07
BR9912407,C12
BR9912407,C12
BR9912407,C12
BR9912407,C12
BR9912407,C12
BR9912407,C12
BR9912407,C12
BR9912407,C12
WO2014041030,C12
BR112017005071,C12
BRPI1004486,C12
BRPI1004486,C12
BRPI1004486,C12
BRPI0714860,B09
BRPI0714860,C10
BRPI0714860,C10
BRPI0714860,A61
BRPI0714860,A61
BRPI0621874,C12
BRPI0621874,C12
BR112012016320,C12
BR112012016320,C12
BR112012016320,C12
BRPI0709946,A61
BRPI0709946,C12
BRPI0709946,C12
WO2009100179,C12
WO2009100179,C12
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR9712977,C10
BR112022021655,C12
BR112022021655,C08
BR112022021655,C10
BR112022021655,C12
BR112022021655,C12
BR112022021655,C12
BR112022021655,C12
BRPI0700897,C10
BRPI0700897,C10
WO2019096718,C07
WO2019096718,C12
WO2010101637,C07
WO2010101637,C07
WO2010101637,C07
WO2010101637,C07
WO2010101637,C07
WO2012042840,C12
WO2012042840,C13
BR8302812,C12
BR8302812,C12
BRPI0803910,C10
BRPI0803910,C10
BR112022004354,C12
BR112022004354,C12
BR112022004354,C12
BR112022004354,A23
BR112022004354,B01
BRPI1103673,C07
BRPI1103673,C12
BRPI1103673,C12
BRPI1103673,C12
BR112023000395,C12
BR112023000395,C07
BR112023000395,C12
BR112023000395,C12
BRMU5901129,B01
BRMU5901129,B01
BRMU5901129,C07
BRMU5901129,C07
WO2013127006,C07
WO2013127006,B01
WO2013127006,C07
WO2013127006,C07
WO2013127006,C07
WO2013127006,C07
WO2013127006,C07
WO2013127006,C13
BRPI0515706,C12
BRPI0515706,C12
BRPI0515706,C12
BRPI0515706,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BR9815487,C12
BRPI0709730,C07
BRPI0709730,C07
BRPI0709730,C07
BR102012007049,C07
BR102012007049,C07
BR102012007049,C07
BRPI0905574,C10
BRPI0905574,C10
BRPI0905574,C10
BRPI0905574,C10
BR0205671,C12
BR0205671,C12
BR0205671,C12
BR9706136,C07
BR9706136,C07
BR9706136,C10
BR9706136,C10
BR9706136,C12
BR9706136,C12
BR9706136,C12
BR9706136,C12
BR9706136,C12
BR9706136,C12
WO2004085652,A01
WO2004085652,C12
WO2004085652,C12
WO2004085652,C12
BRPI0516035,C13
BRPI0516035,C13
BRPI0516035,C12
BRPI0516035,C12
BR112017022529,C13
BR112017022529,C01
BR112017022529,C01
BR112017022529,C01
BR112017022529,C07
BR112017022529,D21
WO2011159991,C12
WO2011159991,C11
WO2011159991,C07
BR8703664,C07
BR8703664,C07
BR8703664,C07
BR112022013249,C12
BR112022013249,C12
WO2009060126,C13
WO2009060126,C12
WO2009060126,C12
WO2013181496,C12
WO2013181496,C12
WO2013181496,C12
BR102020024886,C08
BR102020024886,C12
BR102020024886,C12
BR102020024886,C12
BR102020024886,C08
BR102020024886,C08
BR102020024886,C08
BR102020024886,C07
BR102020024886,C07
BR0106237,C10
BR0106237,C10
BR0009178,C12
BR0009178,C12
BR0009178,C12
BR0009178,C12
BR0009178,C12
BR0009178,C12
BR0009178,C12
WO2015139141,C12
WO2015139141,C12
WO2015139141,C12
WO2015139141,C12
WO2015139141,C12
WO2015139141,D21
WO2021184101,C12
WO2021184101,C12
WO2021184101,C12
WO2021184101,A01
WO2021184101,A01
WO2021184101,C12
WO2021184101,C12
WO2021184101,A23
BRPI0905854,C10
BRPI0905854,C10
BRPI0905854,C10
BRPI0905854,C10
BR9300474,C12
BR9300474,C12
BR9300474,C12
BR9300474,C12
BR9300474,C12
BRPI0613681,C13
BRPI0613681,C12
BR8006653,C12
BR8006653,C12
BR0100762,C12
BR0100762,C12
WO2013044042,C12
WO2015005410,C12
WO2015005410,C12
WO2015005410,C12
BR0013396,C07
BR0013396,C07
BR0013396,C07
BR0013396,C07
BR0013396,C07
BR0013396,C07
BR0013396,C07
BR0013396,C10
BR0013396,C10
BR0013396,C10
BR0013396,C10
BR0013396,C11
BR0013396,C11
BR0013396,C11
BRPI1004075,C10
BR102021018966,C10
BR102021018966,C10
BR102021018966,C10
WO2014060673,C12
WO2014060673,C12
WO2014060673,C12
WO2014060673,C12
BRPI0702405,C12
WO2011063402,C12
WO2011063402,C07
WO2011063402,C12
WO2011063402,C07
BRPI0615066,C12
BR9804667,C07
BR9804667,C07
BR9804667,C07
BR112016013463,C12
WO2007045063,C12
WO2007045063,C12
WO2007045063,C12
WO2007045063,C12
WO2007045063,A01
WO2007045063,A01
WO2007045063,A01
BRPI1009179,C07
BRPI1009179,C10
BR0014631,C09
BR0014631,C09
BR0014631,C10
BR0014631,C10
BR0014631,C10
BR0014631,C10
BR0014631,C10
BR0014631,C10
BR9913076,A01
BR9913076,A01
BR9913076,C07
BR9913076,C07
BR9913076,C07
BR9913076,C07
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR9913076,C12
BR0300170,B01
BR0300170,B01
BR0300170,B01
BR0300170,B01
BR0300170,C02
BR0300170,C02
BR0300170,C07
BR0300170,C07
BR0300170,C07
BR0300170,C07
BR0300170,C07
BR0300170,C07
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
BR0300170,F23
WO2008070561,C12
WO2008070561,C12
WO2008070561,C12
WO2008070561,C12
BR9913813,C07
BR9913813,C07
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C12
WO2008080093,C07
WO2008080093,A61
WO2008080093,C12
WO2008080093,A21
WO2008080093,A01
WO2008080093,A01
BRPI0904084,C12
BRPI0904084,C12
BRPI0904084,C12
BRPI0904084,C12
WO2009100848,C10
WO2009100848,C10
WO2009100848,C10
WO2010134455,C12
WO2010134455,C12
WO2010134455,C12
WO2010134455,C12
WO2014188012,C12
WO2014188012,C12
WO2014188012,C12
WO2014188012,C12
WO2014188012,C12
WO2017017292,C12
WO2017017292,C12
WO2014098105,C07
WO2014098105,C07
WO2014098105,C07
WO2014098105,C07
WO2014098105,C07
WO2014098105,C07
WO2010059694,C10
BR112016011609,C12
BR112016011609,D21
WO2015156803,C07
BRPI1003290,A23
BRPI1003290,C05
BRPI1003290,C05
BRPI1003290,C12
BR102021012388,C12
BR102021012388,C12
BRPI0400661,C10
BRPI0400661,C10
BR102019008031,C12
BR102019008031,C12
BR102019008031,C12
BRPI0903048,C12
BRPI0903048,C12
BRPI0903048,C12
BRPI0903048,C12
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,C12
BR112023003525,C12
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,A23
BR112023003525,C12
BR112023003525,A23
BR8107381,C07
BR8107381,C07
BR8107381,C07
BR8107381,C07
BR8107381,C07
BR8107381,C10
BR8107381,C10
BR8107381,C10
BRPI0707741,C07
BRPI0707741,C07
BRPI0707741,C07
WO2013142320,C12
WO2013142320,C12
WO2013142320,C12
WO2013142320,C12
WO2013142320,C08
WO2013142320,C10
BR112018012451,A01
BR112018012451,C12
WO2014015405,C12
WO2014015405,C12
WO2014015405,C12
WO2014056486,C07
WO2014056486,C07
WO2014056486,C07
WO2014056486,C13
WO2012003282,A23
BR0203580,C12
BR0203580,C12
WO2013142317,C12
WO2013142317,C12
WO2013142317,C12
WO2013142317,C08
WO2013142317,C10
WO2013142317,C05
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
